OrderID,OrderDate,ProductName,Category,SubCategory,Quantity,UnitPrice,TotalSales,CustomerName,Gender,Age,Region,SalesRep,Country,Currency,Branch,PaymentMode,Channel,TransactionStatus,FeedbackScore
RFIN-1000,2023-01-01,Mutual Fund,Investment,Mutual Fund,3,1863,5589,Neha,Female,45,Delhi,Amit,India,INR,Branch-4,UPI,Offline,Pending,5
RFIN-1001,2023-01-02,Mutual Fund,Investment,Mutual Fund,4,3790,15160,Rahul,Female,44,Kolkata,Vikas,India,INR,Branch-3,Cheque,Offline,Success,5
RFIN-1002,2023-01-03,Debt Fund,Investment,Debt Fund,1,8408,8408,Ishita,Female,33,Chennai,Amit,India,INR,Branch-4,Credit Card,Offline,Failed,3
RFIN-1003,2023-01-04,Equity,Investment,Equity,3,9755,29265,Neha,Female,27,Kolkata,Sneha,India,INR,Branch-3,Credit Card,Online,Failed,5
RFIN-1004,2023-01-05,Equity,Investment,Equity,3,6116,18348,Rahul,Male,56,Mumbai,Raj,India,INR,Branch-1,Cheque,Online,Pending,1
RFIN-1005,2023-01-06,Equity,Investment,Equity,4,7019,28076,Megha,Female,40,Kolkata,Vikas,India,INR,Branch-4,Cheque,Offline,Success,4
RFIN-1006,2023-01-07,Mutual Fund,Investment,Mutual Fund,1,2757,2757,Neha,Male,21,Mumbai,Raj,India,INR,Branch-3,Cheque,Offline,Success,1
RFIN-1007,2023-01-08,Pension Plan,Others,Others,1,8574,8574,Ishita,Female,28,Bangalore,Amit,India,INR,Branch-5,Credit Card,Online,Success,1
RFIN-1008,2023-01-09,Mutual Fund,Investment,Mutual Fund,3,7374,22122,Karan,Male,36,Chennai,Amit,India,INR,Branch-2,Cheque,Agent,Pending,5
RFIN-1009,2023-01-10,Pension Plan,Others,Others,2,7892,15784,Pooja,Female,34,Bangalore,Priya,India,INR,Branch-1,Cheque,Online,Pending,4
RFIN-1010,2023-01-11,Insurance,Others,Others,3,2678,8034,Ishita,Male,32,Bangalore,Vikas,India,INR,Branch-4,Credit Card,Agent,Failed,4
RFIN-1011,2023-01-12,Mutual Fund,Investment,Mutual Fund,3,4242,12726,Aarav,Male,43,Kolkata,Vikas,India,INR,Branch-3,Credit Card,Agent,Success,4
RFIN-1012,2023-01-13,Mutual Fund,Investment,Mutual Fund,3,5636,16908,Pooja,Female,35,Kolkata,Amit,India,INR,Branch-5,UPI,Agent,Failed,3
RFIN-1013,2023-01-14,Mutual Fund,Investment,Mutual Fund,3,2059,6177,Ishita,Female,48,Kolkata,Raj,India,INR,Branch-3,Net Banking,Offline,Pending,5
RFIN-1014,2023-01-15,Equity,Investment,Equity,4,7668,30672,Pooja,Male,54,Bangalore,Vikas,India,INR,Branch-4,Credit Card,Offline,Pending,4
RFIN-1015,2023-01-16,Equity,Investment,Equity,1,4157,4157,Aditya,Female,22,Chennai,Amit,India,INR,Branch-3,Net Banking,Agent,Failed,3
RFIN-1016,2023-01-17,Pension Plan,Others,Others,4,6915,27660,Ishita,Female,52,Chennai,Priya,India,INR,Branch-4,UPI,Agent,Success,2
RFIN-1017,2023-01-18,Pension Plan,Others,Others,4,3693,14772,Neha,Male,43,Mumbai,Sneha,India,INR,Branch-3,UPI,Agent,Success,2
RFIN-1018,2023-01-19,Mutual Fund,Investment,Mutual Fund,4,4627,18508,Neha,Female,42,Delhi,Vikas,India,INR,Branch-2,Cheque,Online,Success,3
RFIN-1019,2023-01-20,Pension Plan,Others,Others,3,6450,19350,Aditya,Female,45,Chennai,Sneha,India,INR,Branch-4,UPI,Offline,Pending,3
RFIN-1020,2023-01-21,Equity,Investment,Equity,2,2663,5326,Megha,Female,42,Kolkata,Raj,India,INR,Branch-4,Cheque,Agent,Success,5
RFIN-1021,2023-01-22,Pension Plan,Others,Others,1,6592,6592,Aditya,Female,42,Mumbai,Priya,India,INR,Branch-1,Cheque,Agent,Success,5
